analysis_key,model_name,threshold_name,metric_name,repetitions_expected,repetitions_valid,repetitions_invalid,mean,sd,median,p2_5,p97_5,minimum,maximum,interval_label
2y,logistic_parsimonious,TRAIN_EVENT_RATE,accuracy,100,100,0,0.6366086956521739,0.040016704232029236,0.6260869565217392,0.5565217391304348,0.7217391304347827,0.5565217391304348,0.7304347826086957,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,TRAIN_EVENT_RATE,balanced_accuracy,100,100,0,0.6155927835051547,0.02712804467918633,0.6199885452462772,0.5576174112256587,0.6556271477663229,0.5037227949599083,0.6632302405498282,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,TRAIN_EVENT_RATE,f1,100,100,0,0.33406255261632745,0.026887761408639865,0.3384615384615385,0.2733333333333333,0.3728009259259259,0.22580645161290322,0.39215686274509803,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,TRAIN_EVENT_RATE,negative_predictive_value,100,100,0,0.8945858953243727,0.014774790677631044,0.8955223880597015,0.865582191780822,0.9259259259259259,0.8450704225352113,0.9259259259259259,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,TRAIN_EVENT_RATE,positive_predictive_value,100,100,0,0.23577169049471688,0.01959789966232988,0.23404255319148937,0.20482226107226106,0.27537878787878783,0.1590909090909091,0.30303030303030304,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,TRAIN_EVENT_RATE,sensitivity,100,100,0,0.585,0.09291358501899724,0.6111111111111112,0.3888888888888889,0.7777777777777778,0.3333333333333333,0.7777777777777778,distribuicao descritiva entre repeticoes
2y,logistic_parsimonious,TRAIN_EVENT_RATE,specificity,100,100,0,0.6461855670103093,0.060785635274797536,0.6288659793814433,0.5154639175257731,0.7682989690721649,0.5154639175257731,0.7835051546391752,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,FIXED_0_5,accuracy,100,100,0,0.8710909090909092,0.004162971063330807,0.8727272727272727,0.8588636363636364,0.8727272727272727,0.8545454545454545,0.8727272727272727,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,FIXED_0_5,balanced_accuracy,100,100,0,0.5011979166666667,0.007829316917078225,0.5,0.4920572916666667,0.5305059523809524,0.4895833333333333,0.5305059523809524,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,FIXED_0_5,f1,100,100,0,0.008529411764705883,0.031260942301515694,0.0,0.0,0.125,0.0,0.125,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,FIXED_0_5,negative_predictive_value,100,100,0,0.8730008943647803,0.0017756879723080082,0.8727272727272727,0.8709352701325178,0.8796296296296297,0.8703703703703703,0.8796296296296297,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,FIXED_0_5,positive_predictive_value,100,19,81,0.15789473684210525,0.21853668936906193,0.0,0.0,0.5,0.0,0.5,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,FIXED_0_5,sensitivity,100,100,0,0.005,0.01831659999830305,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,FIXED_0_5,specificity,100,100,0,0.9973958333333333,0.005805421135653258,1.0,0.9791666666666666,1.0,0.9791666666666666,1.0,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,TRAIN_EVENT_RATE,accuracy,100,100,0,0.6583636363636363,0.032616381870276545,0.6545454545454545,0.5813636363636364,0.7181818181818181,0.5545454545454546,0.7272727272727273,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,TRAIN_EVENT_RATE,balanced_accuracy,100,100,0,0.6428943452380953,0.03743320273543833,0.6469494047619048,0.5701822916666667,0.7057477678571428,0.5572916666666667,0.7165178571428572,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,TRAIN_EVENT_RATE,f1,100,100,0,0.31720743744399954,0.034154882666604616,0.32071428571428573,0.2521590909090909,0.3762382075471698,0.2413793103448276,0.39215686274509803,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,TRAIN_EVENT_RATE,negative_predictive_value,100,100,0,0.9234387492179611,0.01335157748946229,0.9264705882352942,0.8985507246376812,0.9440727699530516,0.8939393939393939,0.9523809523809523,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,TRAIN_EVENT_RATE,positive_predictive_value,100,100,0,0.21334809346540548,0.024547530002419767,0.21428571428571427,0.16859756097560977,0.2603007518796992,0.1590909090909091,0.2702702702702703,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,TRAIN_EVENT_RATE,sensitivity,100,100,0,0.6221428571428572,0.07199987974977935,0.6428571428571429,0.5,0.7142857142857143,0.5,0.7857142857142857,distribuicao descritiva entre repeticoes
2y_landmark,logistic_core_ridge,TRAIN_EVENT_RATE,specificity,100,100,0,0.6636458333333334,0.037871540236760926,0.6666666666666666,0.5674479166666666,0.7242187499999999,0.53125,0.75,distribuicao descritiva entre repeticoes
2y_landmark,logistic_parsimonious,FIXED_0_5,accuracy,100,100,0,0.8659459459459461,0.009691163628647,0.8738738738738738,0.8468468468468469,0.8738738738738738,0.8378378378378378,0.8738738738738738,distribuicao descritiva entre repeticoes
2y_landmark,logistic_parsimonious,FIXED_0_5,balanced_accuracy,100,100,0,0.5107437407952872,0.022038646607671217,0.5,0.4845360824742268,0.5559646539027983,0.4793814432989691,0.5865243004418262,distribuicao descritiva entre repeticoes
2y_landmark,logistic_parsimonious,FIXED_0_5,f1,100,100,0,0.05374929971988795,0.07962538896685813,0.0,0.0,0.21052631578947367,0.0,0.2857142857142857,distribuicao descritiva entre repeticoes
2y_landmark,logistic_parsimonious,FIXED_0_5,negative_predictive_value,100,100,0,0.8763555463137294,0.00508643055995348,0.8738738738738738,0.8703703703703703,0.8867924528301887,0.8691588785046729,0.8942307692307693,distribuicao descritiva entre repeticoes
2y_landmark,logistic_parsimonious,FIXED_0_5,positive_predictive_value,100,50,50,0.23123809523809524,0.16880321510332472,0.25,0.0,0.5,0.0,0.5,distribuicao descritiva entre repeticoes
2y_landmark,logistic_parsimonious,FIXED_0_5,sensitivity,100,100,0,0.03571428571428572,0.05419906504566629,0.0,0.0,0.14285714285714285,0.0,0.21428571428571427,distribuicao descritiva entre repeticoes
2y_landmark,logistic_parsimonious,FIXED_0_5,specificity,100,100,0,0.9857731958762888,0.015492008225629888,0.9948453608247423,0.9587628865979382,1.0,0.9587628865979382,1.0,distribuicao descritiva entre repeticoes
2y_landmark,logistic_parsimonious,TRAIN_EVENT_RATE,accuracy,100,100,0,0.641981981981982,0.04663883482592218,0.6306306306306306,0.5765765765765766,0.7297297297297297,0.5405405405405406,0.7477477477477478,distribuicao descritiva entre repeticoes
