"time_days","time_years","n_risk","n_event","n_censor","survival","std_error","lower_95","upper_95","stratum"
366,1.00205338809035,140,0,1,0.903617719425604,0.0223210822599092,0.849241357558864,0.939077649457883,"Global"
369,1.01026694045175,139,0,1,0.903617719425604,0.0223210822599092,0.849241357558864,0.939077649457883,"Global"
375,1.02669404517454,138,0,1,0.903617719425604,0.0223210822599092,0.849241357558864,0.939077649457883,"Global"
376,1.02943189596167,137,0,1,0.903617719425604,0.0223210822599092,0.849241357558864,0.939077649457883,"Global"
395,1.08145106091718,136,0,1,0.903617719425604,0.0223210822599092,0.849241357558864,0.939077649457883,"Global"
396,1.08418891170431,135,1,0,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
405,1.1088295687885,134,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
408,1.1170431211499,133,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
413,1.13073237508556,132,0,3,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
419,1.14715947980835,129,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
421,1.15263518138261,128,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
437,1.19644079397673,127,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
441,1.20739219712526,126,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
461,1.2621492128679,125,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
465,1.27310061601643,124,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
471,1.28952772073922,123,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
475,1.30047912388775,122,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
495,1.35523613963039,121,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
498,1.36344969199179,120,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
518,1.41820670773443,119,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
525,1.43737166324435,118,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
539,1.4757015742642,117,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
545,1.492128678987,116,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
569,1.55783709787817,115,0,2,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
577,1.57973990417522,113,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
579,1.58521560574949,112,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
580,1.58795345653662,111,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
586,1.60438056125941,110,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
600,1.64271047227926,109,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
623,1.7056810403833,108,0,1,0.896924254837266,0.0231375766519384,0.841013943769863,0.933937160120089,"Global"
638,1.74674880219028,107,1,0,0.88854178516589,0.0243925567803398,0.830008101334727,0.927788230112995,"Global"
657,1.79876796714579,106,0,1,0.88854178516589,0.0243925567803398,0.830008101334727,0.927788230112995,"Global"
670,1.83436002737851,105,0,1,0.88854178516589,0.0243925567803398,0.830008101334727,0.927788230112995,"Global"
671,1.83709787816564,104,0,1,0.88854178516589,0.0243925567803398,0.830008101334727,0.927788230112995,"Global"
679,1.8590006844627,103,0,1,0.88854178516589,0.0243925567803398,0.830008101334727,0.927788230112995,"Global"
697,1.90828199863107,102,1,0,0.879830591193675,0.0256618070659922,0.818659893464832,0.92134777810958,"Global"
719,1.96851471594798,101,0,1,0.879830591193675,0.0256618070659922,0.818659893464832,0.92134777810958,"Global"
720,1.97125256673511,100,0,1,0.879830591193675,0.0256618070659922,0.818659893464832,0.92134777810958,"Global"
733,2.00684462696783,99,1,0,0.87094341350485,0.0268975102744982,0.807240287262237,0.914694698833957,"Global"
736,2.01505817932923,98,0,1,0.87094341350485,0.0268975102744982,0.807240287262237,0.914694698833957,"Global"
749,2.05065023956194,97,0,1,0.87094341350485,0.0268975102744982,0.807240287262237,0.914694698833957,"Global"
756,2.06981519507187,96,0,1,0.87094341350485,0.0268975102744982,0.807240287262237,0.914694698833957,"Global"
762,2.08624229979466,95,0,1,0.87094341350485,0.0268975102744982,0.807240287262237,0.914694698833957,"Global"
769,2.10540725530459,94,0,1,0.87094341350485,0.0268975102744982,0.807240287262237,0.914694698833957,"Global"
776,2.12457221081451,93,1,0,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
778,2.13004791238877,92,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
782,2.1409993155373,91,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
819,2.24229979466119,90,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
824,2.25598904859685,89,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
833,2.28062970568104,88,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
836,2.28884325804244,87,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
844,2.31074606433949,86,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
845,2.31348391512663,85,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
846,2.31622176591376,84,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
851,2.32991101984942,83,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
856,2.34360027378508,82,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
866,2.3709787816564,81,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
868,2.37645448323066,80,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
873,2.39014373716632,79,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
881,2.41204654346338,78,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
882,2.41478439425051,77,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
886,2.42573579739904,76,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
909,2.48870636550308,75,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
944,2.5845311430527,74,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
959,2.62559890485969,73,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
998,2.73237508555784,72,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
1011,2.76796714579055,71,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
1015,2.77891854893908,70,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
1027,2.81177275838467,69,0,1,0.861578430563938,0.0281915048561255,0.795219985579835,0.907668742940986,"Global"
